,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
0,12346.0,325,2,0.0,1,2,1,121,Hibernating
1,12347.0,1,7,4310.0,5,4,5,545,Champions
2,12348.0,74,4,1797.24,2,3,4,234,At Risk Customers
3,12349.0,18,1,1757.55,4,1,4,414,Promising
4,12350.0,309,1,334.4,1,1,2,112,At Risk Customers
5,12352.0,35,11,1545.41,3,5,4,354,Loyal Customers
6,12353.0,203,1,89.0,1,1,1,111,Hibernating
7,12354.0,231,1,1079.4,1,1,4,114,At Risk Customers
8,12355.0,213,1,459.4,1,1,2,112,At Risk Customers
9,12356.0,22,3,2811.43,4,3,5,435,Promising
10,12357.0,32,1,6207.67,3,1,5,315,Need Attention
11,12358.0,1,2,1168.06,5,2,4,524,Promising
12,12359.0,7,6,6245.53,5,4,5,545,Champions
13,12360.0,51,3,2662.06,3,3,5,335,Loyal Customers
14,12361.0,286,1,189.9,1,1,1,111,Hibernating
15,12362.0,2,13,5154.58,5,5,5,555,Champions
16,12363.0,109,2,552.0,2,2,3,223,About To Sleep
17,12364.0,7,4,1313.1,5,4,4,544,Champions
18,12365.0,290,3,320.69,1,3,2,132,At Risk Customers
19,12367.0,3,1,168.9,5,1,1,511,New Customers
20,12370.0,50,4,3545.69,3,4,5,345,Loyal Customers
21,12371.0,44,2,1887.96,3,2,4,324,Potential Loyalists
22,12372.0,71,3,1298.04,2,3,4,234,At Risk Customers
23,12373.0,310,1,364.6,1,1,2,112,At Risk Customers
24,12374.0,24,1,742.9300000000001,4,1,3,413,Promising
25,12375.0,2,3,455.42,5,3,2,532,Low Spenders
26,12377.0,314,2,1628.12,1,2,4,124,At Risk Customers
27,12378.0,129,1,4008.62,2,1,5,215,Need Attention
28,12379.0,81,3,850.29,2,3,3,233,At Risk Customers
29,12380.0,21,5,2720.56,4,4,5,445,Champions
30,12381.0,4,6,1803.96,5,4,4,544,Champions
31,12383.0,184,6,1839.31,1,4,4,144,At Risk Customers
